brand,name,old_price,new_price,store
Kenmore,Kenmore 60492  18.3 cu. ft. Top-Freezer Refrigerator with Glass Shelves - White,899.99,549.88,Sears
Frigidaire Gallery,Frigidaire Gallery GRFS2853AF  27.8 cu. ft. French Door Refrigerator &#8211; Smudge-Proof&#174; Stainless Steel,2999.99,1949.99,Sears
Frigidaire Gallery,Frigidaire Gallery GRMC2273CF 21.5 cu. ft. Counter-Depth 4-Door French Door Refrigerator &#8211; Smudge-Proof&#174; Stainless Steel,3499.99,1999.99,Sears
LG,"LG LFDS22520S-1 30"" 22 cu.ft. Stainless Steel French Door Refrigerator and Bottom Freezer",2199.99,1699.96,Sears
GE Profile Series,GE Profile Series PSB48YSNSS 48&#8221; Built-in 28.7 cu.ft Side by Side refrigerator &#8211; Stainless Steel,,10929.99,Sears
Kenmore,Kenmore 61262  21 cu. ft. Top-Freezer Refrigerator - White,1099.99,699.88,Sears
LG,LG LMXS28626S 27.8 cu. ft. 4-Door French Door Refrigerator &#8211; Stainless Steel,3099.99,1999.99,Sears
Samsung,Samsung RF27T5501SR/AA 27 cu. ft. French Door Refrigerator with Family Hub&#8482; -  Stainless Steel,3399.99,3056.59,Sears
Frigidaire,Frigidaire FRTD2021AS  20.5 cu. ft. Top Freezer Refrigerator &#8211; Stainless Steel,1029.99,679.99,Sears
Frigidaire Gallery,Frigidaire Gallery GRSS2652AF  25.6 cu. ft. Side-by-Side Refrigerator with Ice & Water Dispenser &#8211; Smudge-Proof&#174; Stainless Steel,1749.99,1179.99,Sears
Kenmore,Kenmore 70762  18.3 cu. ft. Deluxe Top-Freezer Refrigerator eStar Certified w/ Factory Installed ice Maker - White,1120.99,579.88,Sears
Frigidaire,Frigidaire FRTD2021AW  20.5 cu. ft. Top Freezer Refrigerator &#8211; White,929.99,659.99,Sears
Samsung,Samsung RF28R7201SR 28 cu. ft. 4-Door French Door Refrigerator - Stainless Steel,3199.99,2876.79,Sears
Kenmore,Kenmore 70495  18.3 cu. ft. Top-Freezer Refrigerator with Factory Installed Ice Maker - Fingerprint Resistant Stainless Steel Look Finish,1100.99,499.88,Sears
Kenmore,Kenmore 70492  18.3 cu. ft. Top-Freezer Refrigerator with Factory Installed Ice Maker - White,969.99,579.88,Sears
Whirlpool,Whirlpool 36-inch Wide Side-by-Side Refrigerator - 25 cu. ft.,,1599.00,Howard's
Frigidaire,Frigidaire FRSS2623AS 25.6 cu. ft. Side-by-Side Refrigerator &#8211; Stainless Steel,1499.99,1099.99,Sears
Kenmore,Kenmore 73025  26.1 cu. ft. French Door Refrigerator with Ice Maker - Fingerprint Resistant Stainless Steel,2449.99,1499.88,Sears
Haier,Haier QHE16HYPFS 16.8 Cu. Ft. Quad Door Refrigerator - Stainless Steel,1799.00,1619.99,Sears
Kenmore,Kenmore 60495  18.3 cu. ft. Top-Freezer Refrigerator with Glass Shelves - Fingerprint Resistant Stainless Steel Look Finish,999.99,499.88,Sears
Kenmore,Kenmore 70499  18.3 cu. ft. Top-Freezer Refrigerator with Factory Installed Ice Maker - Textured Black,969.99,449.88,Sears
GE Appliances,"GE Appliances GNE27JYMFS 36"" 27 cu.ft. Stainless Steel French Door Refrigerator",2399.99,2159.99,Sears
GE Appliances,GE Appliances GNE25JGKBB 24.8 cu. ft. French Door Refrigerator - Black,1999.99,1799.96,Sears
Frigidaire,Frigidaire FRSS2323AW 22.3 cu. ft. 33-Inch-Wide Side-by-Side Refrigerator &#8211; White,1399.99,1259.99,Sears
GE Appliances,GE Appliances GSS25GYPFS 25.3 Cu. Ft. Side-By-Side Refrigerator - Stainless Steel,1799.99,1619.99,Sears
GE Appliances,GE Appliances GWE19JYLFS ENERGY STAR&#174; 18.6 Cu. Ft. Counter-Depth French-Door Refrigerator - Stainless Steel,2099.99,1889.99,Sears
GE Appliances,GE Appliances GNE25JGKWW 24.8 cu. ft. French Door Refrigerator - White,1999.99,1799.96,Sears
Frigidaire Gallery,Frigidaire Gallery GRFG2353AF  23.3 cu. ft. Counter-Depth French Door Refrigerator &#8211; Smudge-Proof&#174; Stainless Steel,2999.99,1999.99,Sears
Frigidaire,Frigidaire FRFS2823AD  27.8 cu. ft. French Door Refrigerator &#8211; Black Stainless Steel,2799.99,1899.99,Sears
GE Appliances,GE Appliances GNE25JYKFS ENERGY STAR&#174; 24.7 Cu. Ft. French-Door Refrigerator - Stainless Steel,1899.99,1889.99,Sears
LG,LG LRFWS2906S  29.0 cu. ft. French Door Refrigerator &#8211; PrintProof&#8482; Stainless Steel,2110.99,1599.96,Sears
LG,LG LRDCS2603S   25.5 cu. ft. Bottom-Freezer Refrigerator &#8211; PrintProof&#8482; Stainless Steel,1799.99,1499.96,Sears
GE Profile Series,GE Profile Series PVD28BYNFS -36 Inch 4-Door French Door Smart Refrigerator with 27.9 Cu. Ft. Capacity,4199.99,3779.99,Sears
GE Appliances,GE Appliances GBE17HYRFS ENERGY STAR&#174; 17.7 Cu. Ft. Counter-Depth Bottom-Freezer Refrigerator - Stainless Steel,,1799.99,Sears
LG,LG LRMWS2906S  28.6 cu. ft. 4-Door French Door Refrigerator with Slim Design Water Dispenser &#8211; PrintProof&#8482; Stainless Steel,2554.99,1799.99,Sears
LG,LG LRMVS3006S  29.5 cu. ft. 4-Door InstaView&#8482; Door-in-Door&#174; Refrigerator w/ Craft Ice&#8482; &#8211; PrintProof&#8482; Stainless Steel,3799.99,2999.99,Sears
GE Cafe,GE Cafe CYE22TP3MD1 22.2 cu. ft. Counter-Depth French Door Refrigerator w/ Hot Water Dispenser Black,4099.99,3689.99,Sears
GE Appliances,GE Appliances GTS19KYNRFS GE  19.2 Cu. Ft. Top-Freezer Refrigerator - Fingerprint Resistant Stainless,1049.99,944.99,Sears
GE Appliances,"GE Appliances GTS22KGNRWW 33"" 21.9 cu.ft. White Top Freezer Refrigerator",,1099.99,Sears
Summit,"Summit 64"" wide casework suite with refrigerator, microwave, and cabinets",5981.73,3987.82,Vir Ventures
Kenmore,Kenmore 60499  18.3 cu. ft. Top-Freezer Refrigerator - Textured Black,849.99,449.88,Sears
GE Appliances,GE Appliances GFE28GYNFS ENERGY STAR 27.7cu.ft. French Door Refrigerator - Stainless Steel,3299.99,2969.96,Sears
Samsung,Samsung RF28R7351SG 28 cu. ft. 4-Door French Door Food Showcase Refrigerator - Black Stainless Steel,3699.99,3326.29,Sears
Kenmore,Kenmore 73029 26.1 cu. ft. French Door Refrigerator with Ice Maker - Black,2449.99,1499.88,Sears
GE Appliances,GE Appliances GSS25GMPES 25.3 Cu. Ft. Side-By-Side Refrigerator - Slate,,1799.99,Sears
Samsung,Samsung RS27T5200SR/AA 27.4 cu. ft. Side by Side Refrigerator - Fingerprint Resistant Stainless Steel,1666.99,1099.96,Sears
GE Appliances,GE Appliances GZS22DGJBB 21.9 cu. ft. Counter-Depth Side-by-Side Refrigerator - Black,,2599.99,Sears
Samsung,Samsung RF32CG5100SRAA 32 cu. ft. Mega Capacity 3-Door French Door Refrigerator with Dual Auto Ice Maker in Stainless Steel,,2099.99,Sears
GE Appliances,GE Appliances GDE21EGKWW 20.9 cu. ft. Single Door Bottom Freezer Refrigerator - White,1899.99,1709.96,Sears
Frigidaire,Frigidaire FRQG1721AV  17.4 cu. ft. 4 Door Refrigerator &#8211; Brushed Steel,1699.99,1199.99,Sears
Samsung,"Samsung RF30BB6200QLAA Bespoke 3-Door French Door Refrigerator (30 cu ft) w/ AutoFill Pitcher in Fingerprint Resistant Stainless Steel, Standard Depth",2899.99,1599.99,Sears
Samsung,Samsung RS27T5561SR/AA 26.7 cu. ft. Large Capacity Side-by-Side Refrigerator with Touch Screen Family Hub in Stainless Steel,2099.00,1699.00,Bluelight
GE Appliances,GE Appliances GSS25GGPBB 25.3 Cu. Ft. Side-By-Side Refrigerator - Black,,1699.99,Sears
GE Appliances,"GE Appliances PSE25KYHFS 36"" 25.3cu.ft. Side By Side Refrigerator - Stainless Steel",,2499.99,Sears
GE Appliances,"GE Appliances GTS17DTNRWW 28"" 16.6 cu.ft. White Top Freezer Refrigerator",,749.99,Sears
Frigidaire Gallery,Frigidaire Gallery GRSC2352AF  22.3 cu. ft. Counter-Depth Side-by-Side Refrigerator &#8211; Smudge-Proof&#174; Stainless Steel,1949.99,1249.99,Sears
Samsung,Samsung RF28R7351SR 28 cu. ft. 4-Door French Door Food Showcase Refrigerator - Stainless Steel,3599.99,3236.39,Sears
LG,LG LMWC23626S  22.7 cu. ft. Counter Depth French Door Refrigerator with Double Freezer &#8211; PrintProof&#8482; Stainless Steel,2499.99,1899.99,Sears
GE Appliances,"GE Appliances GFE26JYMFS 36"" 25.6 cu.ft. Stainless Steel French Door Refrigerator",,2699.99,Sears
GE Appliances,GE Appliances GNE27JGMBB 27 cu. ft. French Door Refrigerator - Black,2299.99,2069.96,Sears
GE Appliances,GE Appliances GDE21EYKFS ENERGY STAR&#174; 21.0 Cu. Ft. Bottom-Freezer Refrigerator - Stainless Steel,,1999.99,Sears
Frigidaire,Frigidaire FRSS2323AS 22.3 cu. ft. 33-Inch-Wide Side-by-Side Refrigerator &#8211; Stainless Steel,1499.99,1129.99,Sears
GE Appliances,"GE Appliances GTS22KGNRBB 33"" 21.9 cu.ft. Black Top Freezer Refrigerator",,1099.99,Sears
Samsung,"Samsung RF29BB8600QLAA Bespoke 4-Door French Door Refrigerator (29 cu ft) with Beverage Center in Fingerprint Resistant Stainless Steel, Standard Depth",3699.99,2199.99,Sears
Frigidaire Gallery,Frigidaire Gallery GRSS2652AD  25.6 cu. ft. Side-by-Side Refrigerator with Ice & Water Dispenser &#8211; Smudge-Proof&#174; Black Stainless Steel,1849.99,1279.99,Sears
Samsung,Samsung RF18A5101SG/AA 18 cu. ft. Smart Counter Depth 3-Door French Door Refrigerator in Black Stainless Steel,1619.00,1399.00,Bluelight
GE Appliances,GE Appliances GWE19JGLBB 18.6 cu. ft. Counter-Depth French Door Refrigerator - Black,1999.99,1799.96,Sears
LG,"LG LRFXS2503S  24.5 cu. ft. Smart Wi-Fi Enabled French Door Refrigerator (33"" Width) &#8211; PrintProof&#8482; Stainless Steel",2599.99,2299.96,Sears
Frigidaire,Frigidaire FRSS2623AB 25.6 cu. ft. Side-by-Side Refrigerator &#8211; Black,1399.99,1079.99,Sears
Samsung,Samsung RF32CG5400SRAA 31 cu. ft. Mega Capacity 3-Door French Door Refrigerator with Four Types of Ice in Stainless Steel,2899.99,1899.99,Sears
Samsung,"Samsung RS28A500ASR/AA 36"" 28 cu.ft. Stainless Steel Side-by-Side Refrigerator",1499.99,1099.99,Sears
Frigidaire,Frigidaire FRSS2323AD 22.3 cu. ft. 33-Inch-Wide Side-by-Side Refrigerator &#8211; Black Stainless Steel,1599.99,1109.99,Sears
Frigidaire,Frigidaire FRFS2823AS  27.8 cu. ft. French Door Refrigerator &#8211; Stainless Steel,2699.99,1799.99,Sears
LG,LG LRSDS2706S   27.1 cu. ft. Side-by-Side Door-in-Door&#174; Refrigerator w/ Craft Ice&#8482; - PrintProof&#8482; Stainless Steel,2099.99,1699.99,Sears
Frigidaire Gallery,Frigidaire Gallery GRSC2352AD  22.3 cu. ft. Counter-Depth Side-by-Side Refrigerator &#8211; Smudge-Proof&#174; Black Stainless Steel,2049.99,1349.99,Sears
Samsung,Samsung RT16A6195SR/AA 15.6 cu. ft. Top Freezer Refrigerator with All-Around Cooling in Stainless Steel,764.00,699.00,Bluelight
Samsung,Samsung RS22T5201SR/AA 22 cu. ft. Counter Depth Side-by-Side Refrigerator in Stainless Steel,1599.00,1299.00,Bluelight
Forte,Forte F21ARESSS 33 All Refrigerator with 21 cu. ft. Capacity  Quick Freeze  Temperature and Door Alarm  LED Lighting  Spillproof,1958.60,1399.00,Appliances Connection
Kenmore,Kenmore 61335  20.5 cu. ft. Top Freezer Refrigerator &#8211; Stainless Steel w/Fingerprint Resistance,1299.99,1049.99,Sears
LG,LG LMXS28596D 27.6 cu. ft. Smart French Door Refrigerator w/ InstaView &#8211; Black Stainless Steel,,3799.99,Sears
Kenmore,Kenmore 71219  21 cu. ft. Top-Freezer Refrigerator with Ice Maker - Black,1249.99,699.88,Sears
GE Appliances,GE Appliances GSS23GGPWW 23.0 Cu. Ft. Side-By-Side Refrigerator - White,,1699.99,Sears
GE Appliances,"GE Appliances GTS18GTNRBB 28"" 17.5 cu.ft. Black Top Freezer Refrigerator",,849.99,Sears
GE Appliances,"GE Appliances GTS19KGNRWW 30"" 19.2 cu.ft. White Top Freezer Refrigerator",949.99,854.96,Sears
Frigidaire,Frigidaire FFTR2045VS  20.0 cu. ft. Top Freezer Refrigerator &#8211; Stainless Steel,1049.99,699.99,Sears
Samsung,Samsung RT18M6215SR/AA 18 cu. ft. Top Freezer Refrigerator with FlexZone and Ice Maker in Stainless Steel,944.00,799.00,Bluelight
Frigidaire,Frigidaire FFTR1835VS  18.3 cu. ft. Top Freezer Refrigerator &#8211; Stainless Steel,949.99,689.99,Sears
Kenmore,Kenmore 62319  18.2 cu. ft. Top Freezer Refrigerator &#8211; Black,1149.99,899.99,Sears
GE Appliances,GE Appliances GIE18DTNRWW GE ENERGY STAR 17.5 Cu. Ft. Top-Freezer Refrigerator,959.99,863.96,Sears
Frigidaire Gallery,Frigidaire Gallery FGHT2055VF  20.0 cu. ft. Top Freezer Refrigerator &#8211; Smudge-Proof&#174; Stainless Steel,1149.99,799.99,Sears
GE Appliances,"GE Appliances GTS17GSNRSS 28"" 16.6 cu.ft. Stainless Steel Top Freezer Refrigerator",879.99,791.96,Sears
Frigidaire,Frigidaire FFTR1835VW  18.3 cu. ft. Top Freezer Refrigerator &#8211; White,849.99,649.99,Sears
GE Appliances,"GE Appliances GTE17DTNRCC 28"" 16.6 cu.ft. Bisque Top Freezer Refrigerator",799.99,719.96,Sears
Frigidaire,Frigidaire FFTR1814WW  18.3 cu. ft. Top Freezer Refrigerator &#8211; White,799.99,629.99,Sears
GE Appliances,GE Appliances GTS22KYNRFS GE 21.9 Cu.ft. Top-Freezer Refrigerator - Fingerprint Resistant Stainless,,1199.99,Sears
Frigidaire,"Frigidaire FFHT1425VW  13.9 cu. ft. Top Freezer Refrigerator with EvenTemp&#8482;, ADA Compliant &#8211; White",779.99,619.99,Sears
Frigidaire,Frigidaire FFPS4533UM  4.5 cu. ft. Compact Refrigerator - Silver Mist,,299.99,Sears
GE Appliances,"GE Appliances GTS18GTNRWW 28"" 17.5 cu.ft. White Top Freezer Refrigerator",,849.99,Sears
LG,LG LRFS28XBS  27.7 cu. ft. 3-Door French Door Refrigerator &#8211; PrintProof Stainless Steel,2399.99,1899.99,Sears
Samsung,Samsung RF27T5201SR/AA 27 cu. ft. French Door Refrigerator - Fingerprint Resistant Stainless Steel,2599.99,2339.96,Sears
GE Appliances,GE Appliances GFE24JYKFS ENERGY STAR&#174; 23.6 Cu. Ft. French-Door Refrigerator - Stainless Steel,,2799.99,Sears
Frigidaire,"Frigidaire FFET1022UB  10.1 cu. ft. Top Freezer Apartment-Size Refrigerator - 24"" width - Black",779.99,701.96,Sears
GE Appliances,"GE Appliances GIE19JSNRSS 30"" 19.2 cu.ft. Stainless Steel Top Freezer Refrigerator",1329.99,1196.96,Sears
Costway,"Costway  Refrigerator Small Freezer Cooler Fridge Compact 3.2 cu ft. Unit, Grey",344.99,229.99,factorydirectsale
Frigidaire,Frigidaire FRSS2623AW 25.6 cu. ft. Side-by-Side Refrigerator &#8211; White,1399.99,1079.99,Sears
Frigidaire Gallery,Frigidaire Gallery GRFN2853AF  28.8 cu. ft. French Door Refrigerator &#8211; Smudge-Proof&#174; Stainless Steel,2699.99,1899.99,Sears
Samsung,Samsung RF32CG5900SRAA 30 Cu. Ft. Mega Capacity 3 Door French Door Refrigerator With Family Hub In Stainless Steel,3699.99,2699.99,Sears
Frigidaire,Frigidaire FFTR1814WB  18.3 cu. ft. Top Freezer Refrigerator &#8211; Black,799.99,629.99,Sears
Frigidaire,Frigidaire FFPS3133UM  3.1 cu. ft. Compact Refrigerator - Silver Mist,264.99,237.96,Sears
Frigidaire Gallery,Frigidaire Gallery GRFS2853AD  27.8 cu. ft. French Door Refrigerator &#8211; Smudge-Proof&#174; Black Stainless Steel,2999.99,2049.99,Sears
Frigidaire,"Frigidaire FFET1022UV  10.1 cu. ft. Top Freezer Apartment-Size Refrigerator - 24"" width - Brushed Steel",829.99,746.96,Sears
BLACK+DECKER,"BLACK+DECKER 4.3 Cu. Ft. Compact Refrigerator,Black",349.99,239.99,My Home Products LLC
GE Appliances,GE Appliances GE 17.5 Cu. Ft. Top-Freezer Refrigerator - Fingerprint Resistant Stainless,,949.99,Sears
Kenmore Elite,Kenmore Elite 73315 30.6 cu. ft. Large Capacity Smart French Door Refrigerator - Fingerprint Resistant Stainless Steel,,3599.99,Sears
LG,LG LRSXS2706W  27.2 cu. ft. Side-by-Side Refrigerator w/ External Ice & Water Dispenser &#8211; Smooth White,,1665.99,Sears
Kenmore Elite,Kenmore Elite 51773  28 cu. ft. Side-by-Side Refrigerator - Stainless Steel,2599.99,1280.88,Sears
LG,LG LRSXS2706S   27.2 cu. ft. Side-by-Side Refrigerator w/ External Ice & Water Dispenser - Stainless Steel,1721.99,1299.99,Sears
Samsung,Samsung RF18A5101SR/AA 18 cu. ft. Stainless Steel Smart Counter Depth 3-Door French Door Refrigerator,1699.99,1099.99,Sears
Kenmore,Kenmore 50049 25 cu. ft. Side-by-Side Refrigerator with Ice & Water Dispenser - Black,1599.99,619.88,Sears
Frigidaire,Frigidaire FRFS2823AW  27.8 cu. ft. French Door Refrigerator &#8211; White,,2599.99,Sears
Costway,Costway STAKOL 3 cu.ft. Compact Upright Freezer w/Single Stainless Steel Door Removable Shelves,389.99,259.99,factorydirectsale
Kenmore,Kenmore 50042  25 cu. ft. Side-by-Side Refrigerator with Ice & Water Dispenser - White,1599.99,989.88,Sears
LG,LG LRMDS3006S  29.5 cu. ft. Super-Capacity 4-Door Refrigerator w/ Door-in-Door&#174; & Craft Ice&#8482; &#8211; Stainless Steel,3599.99,2899.99,Sears
LG,LG LRSXS2706V  27.2 cu. ft. Side-by-Side Refrigerator w/ External Ice & Water Dispenser &#8211; Stainless Steel Look,1665.99,1199.99,Sears
Frigidaire Gallery,Frigidaire Gallery GRFC2353AF  22.6 cu. ft. Counter-Depth French Door Refrigerator &#8211; Smudge-Proof&#174; Stainless Steel,3299.99,2049.99,Sears
Kenmore,Kenmore 71215  21 cu. ft. Top-Freezer Fridge with Ice Maker - Fingerprint-Resistant Stainless Steel,1349.99,1129.99,Sears
Kenmore,Kenmore 51752 21 ct. ft. Side-by-Side Refrigerator - White,1599.99,695.88,Sears
GE Appliances,GE Appliances GDE21EMKES 20.9 cu. ft. Bottom Freezer Refrigerator - Slate,1999.99,1799.96,Sears
GE Appliances,GE Appliances GFE28GMKES 27.8 cu. ft. French Door Refrigerator - Slate,3299.99,2969.96,Sears
GE Appliances,GE Appliances GNE25JMKES 25 cu. ft. French Door Refrigerator - Slate,2099.99,1889.96,Sears
LG,LG LRSXS2706B  27.2 cu. ft. Side-by-Side Refrigerator w/ External Ice & Water Dispenser &#8211; Smooth Black,,1721.99,Sears
Coca-Cola,Coca-Cola 4L Cooler/Warmer w/ Bluetooth Speaker 12V DC 110V AC Mini Fridge Red,109.99,97.99,Sears
LG,LG LRSXC2306S  23 cu. ft. Side-by-Side Counter-Depth Refrigerator w/ Smooth Touch Dispenser &#8211; Stainless Steel,1832.99,1399.99,Sears
Frigidaire,Frigidaire FFTR2045VW  20.0 cu. ft. Top Freezer Refrigerator &#8211; White,949.99,679.99,Sears
BLACK+DECKER,"BLACK+DECKER 3.2 Cu. Ft. Compact Refrigerator,Black",389.99,269.99,My Home Products LLC
GE Appliances,GE Appliances GBE21DYKFS ENERGY STAR&#174; 21.0 Cu. Ft. Bottom-Freezer Refrigerator - Stainless Steel,,1549.99,Sears
LG,"LG LRTLS2403S   33"" Width 23.8 cu. ft. Top Freezer Refrigerator with Internal Water Dispenser - Stainless Steel",1110.99,899.96,Sears
Frigidaire,Frigidaire FFTR2045VB  20.0 cu. ft. Top Freezer Refrigerator &#8211; Black,949.99,679.99,Sears
GE Appliances,GE Appliances GSS25GGPWW 25.3 Cu. Ft. Side-By-Side Refrigerator - White,,1699.99,Sears
Samsung,Samsung RF22A4221SR/AA 22 cu. ft. Smart 3-Door French Door Refrigerator with External Water Dispenser in Fingerprint Resistant Stainless,1979.00,1699.00,Bluelight
LG,LG LRSOS2706S  27.1 cu. ft. Side-by-Side InstaView&#174; Refrigerator with Craft Ice&#8482; &#8211; PrintProof&#8482; Stainless Steel,2099.99,1699.99,Sears
Samsung,"Samsung RF29BB860012AA Bespoke 4-Door French Door Refrigerator (29 Cu. Ft.) with Beverage Center in White Glass, Standard Depth",3699.99,2494.00,Sears
Frigidaire,Frigidaire FRSS2623AD 25.6 cu. ft. Side-by-Side Refrigerator &#8211; Black Stainless Steel,1599.99,1199.99,Sears
GE Appliances,GE Appliances GSS25GGPCC 25.3 Cu. Ft. Side-By-Side Refrigerator - Bisque,,1699.99,Sears
Kenmore,Kenmore 50045 25 cu. ft. Side-by-Side Fingerprint Resistant Refrigerator  with Ice & Water Dispenser - Stainless Steel,1799.99,711.88,Sears
GE Cafe,GE Cafe CYE22TP4MW2 22.2 cu. ft. Counter-Depth French Door Refrigerator w/ Hot Water Dispenser-White,4099.99,3689.99,Sears
GE Appliances,GE Appliances GZS22DSJSS 21.9 cu. ft. Counter-Depth Side-by-Side Refrigerator - Stainless Steel,,2699.99,Sears
Samsung,Samsung RF27T5201SG/AA 27 cu. ft. French Door Refrigerator - Black Stainless Steel,2699.99,2427.29,Sears
